CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000361;302;165;137;6;10;11;13;14;5;17;25;27;20;17;7;7;7;9;8;11;13;26;25;12;12;13;17;18;22;22;16;30;51;52;32;29
352440205000364;299;129;170;3;9;7;6;7;4;12;21;14;16;30;X;4;7;9;7;3;17;18;33;25;46;4;13;14;15;14;7;29;39;47;41;76
352440205000365;490;229;261;5;15;11;11;12;19;37;32;32;29;26;10;10;13;12;19;22;32;40;34;27;42;15;25;24;23;31;41;69;72;66;56;68
352440205000366;478;229;249;10;12;12;13;18;12;26;27;31;29;39;13;7;10;9;15;16;25;37;37;39;41;23;19;22;22;33;28;51;64;68;68;80
352440205000367;383;168;215;13;11;14;7;14;14;27;16;21;19;12;14;19;9;10;10;20;32;25;31;24;21;27;30;23;17;24;34;59;41;52;43;33
352440205000368;556;273;283;17;14;15;17;29;20;30;32;45;37;17;11;11;16;13;22;18;44;33;55;45;15;28;25;31;30;51;38;74;65;100;82;32
352440205000370;601;282;319;21;15;18;18;18;14;47;41;41;29;20;16;18;19;20;27;13;46;57;43;36;24;37;33;37;38;45;27;93;98;84;65;44
352440205000371;634;310;324;15;25;19;31;18;25;43;64;34;18;18;15;24;21;12;18;26;52;67;40;32;17;30;49;40;43;36;51;95;131;74;50;35
352440205000372;638;303;335;17;13;17;25;17;17;26;48;49;45;29;7;16;17;31;22;15;39;55;63;37;33;24;29;34;56;39;32;65;103;112;82;62
352440205000373;556;277;279;7;14;20;20;17;17;28;42;54;42;16;13;10;15;17;14;10;37;45;53;40;25;20;24;35;37;31;27;65;87;107;82;41
352440205000374;394;194;200;11;9;14;16;8;8;20;41;32;24;11;9;15;15;11;5;3;28;52;32;17;13;20;24;29;27;13;11;48;93;64;41;24
352440205000375;361;146;215;8;12;10;7;13;12;24;23;17;13;7;5;20;12;12;14;24;38;39;21;20;10;13;32;22;19;27;36;62;62;38;33;17
352440205000376;334;143;191;12;8;10;7;9;10;43;26;10;5;3;6;16;8;11;12;27;52;29;16;10;4;18;24;18;18;21;37;95;55;26;15;7
